iter	Passed	Remaining
0	107	430111	205	40924
2	323	42902
3	476	47294
4	599	47475
5	683	44994
6	780	43944
7	907	44603
8	1018	4434599	1097	42905110	1194	42338111	1308	42404
12	1393	41582113	1492	41264114	1603	41266115	1703	40994116	1791	40472117	1901	40467118	2036	40939119	2137	40724220	2235	40445221	2343	40375222	2451	40291223	2554	40130224	2642	39741225	2741	39536226	2835	39279227	2929	39023228	3012	38647229	3107	38424330	3213	38351331	3304	38104332	3428	38236333	3487	37643334	3558	3720835	3683	37350
36	3782	37209
37	3857	36848
38	3963	36790
39	4050	36551
40	4131	36274
41	4205	35944
42	4300	35807
43	4388	35605
44	4484	35475
45	4582	35365
46	4696	35373
47	4800	35306
48	4925	35383
49	5021	35251
50	5114	35097
51	5223	35057
52	5343	35088
53	5461	35092
54	5551	34920
55	5643	34766
56	5737	34624
57	5849	34591
58	5964	34573
59	6053	34405
60	6156	34312
661	6248	34162662	6353	34087663	6457	34003664	6571	33968665	6674	33876666	6778	33790667	6893	33760668	7014	33751669	7136	33746770	7222	33569771	7333	33511772	7401	33258773	7531	33281774	7668	33334775	7816	33427776	7929	33366777	8067	33407778	8229	33544779	8300	33304880	8435	3332581	8612	33505
82	8743	33497
883	8827	33312884	8985	33403885	9128	33435886	9302	33573
87	9422	33515
88	9598	33649
89	9722	33595
90	9851	33559
91	9947	33412
92	10065	33336
93	10177	33238
94	10266	33068
95	10382	32985
96	10466	32801
97	10569	32679998	10678	32576
99	10756	323751100	10858	322521101	10945	320841102	11050	319721103	11149	318401104	11271	317751105	11375	316581106	11464	314991107	11561	313651108	11660	312381109	11740	310581110	11846	309501111	11941	308121112	12044	306971113	12139	305621114	12248	304621115	12363	303751116	12453	302271117	12588	301901118	12699	300931119	12796	299651120	12877	297981121	12969	296591122	13083	295701123	13194	294751124	13289	293421125	13393	292311126	13500	291271127	13618	290451128	13703	28893
129	13800	28769
130	13900	28648
131	14008	28547
132	14118	28448
133	14208	28311
134	14310	28196
135	14409	28076
136	14524	27989
137	14633	27888
138	14710	27728
139	14820	27628
140	14924	27520
141	15047	27445
142	15155	27342
143	15267	27247
144	15370	27137
145	15466	27012
146	15570	26904
147	15666	26781
148	15761	26657
149	15866	26549
150	15966	26434
151	16077	26337
152	16194	26249
153	16282	26116
154	16330	25918
155	16431	25805
156	16557	25732
157	16674	25644
158	16792	25559
159	16894	25446
160	16999	25340
161	17100	25228
162	17215	25136
163	17359	25086
164	17441	24946
165	17557	24856
166	17683	24778
167	17801	24688
168	17902	24576
169	18028	24498
170	18193	24471
171	18381	24472
172	18598	24511
173	18725	24428
174	18814	24298
175	18908	24173
176	19016	24065
177	19144	23984
178	19246	23869
179	19342	23748
180	19453	23645
181	19568	23546
182	19664	23425
183	19763	23307
184	19867	23197
185	19959	23071
186	20079	22978
187	20178	22861
188	20277	22745
189	20379	22631
190	20493	22532
191	20597	22421
192	20684	22292
193	20795	22188
194	20913	22092
195	21018	21983
196	21125	21875
197	21226	217621198	21334	216551199	21429	215362200	21536	214292201	21661	21340
202	21764	21228
203	21872	21121
204	21978	21013
205	22088	20908
206	22179	20786
207	22288	20680
208	22393	20571
209	22496	20461
210	22589	20341
211	22707	20243
212	22822	20144
213	22922	20030
214	23023	19917
215	23143	19822
216	23250	19714
217	23369	19617
218	23472	19506
219	23582	19402
220	23689	19294
221	23819	19205
222	23940	19109
223	24052	19005
224	24184	18917
225	24302	18818
226	24398	18701
227	24500	18590
228	24629	18499
229	24738	18392
230	24857	18293
231	24977	18194
232	25111	18106
233	25243	18015
234	25339	17899
235	25472	17809
236	25640	17742
237	25744	17631
238	25889	17548
239	26011	17449
240	26123	17343
241	26253	17249
242	26370	17146
243	26466	17029
244	26567	16916
245	26659	16797
246	26760	16684
247	26862	16572
248	26983	16471
249	27093	16364
250	27179	16242
251	27256	16116
252	27365	16008
253	27455	15889
254	27547	15772
255	27620	15644
256	27689	15514
257	27757	15385
258	27833	15260
259	27884	15122
260	27953	14994
261	28013	14862
262	28072	14730
263	28137	14601
264	28197	14471
265	28263	14344
266	28313	14209
267	28368	14078
268	28426	13948
269	28477	13816
270	28528	13685
271	28578	13553
272	28654	13435
273	28720	13312
274	28778	13185
275	28835	13059
276	28896	12935
277	28956	12811
278	29015	12687
279	29131	12589
280	29221	12478
281	29295	12362
282	29361	12242
283	29432	12125
284	29498	12006
285	29554	11883
286	29619	11765
287	29719	11660
288	29813	11554
289	29859	11428
290	29932	11314
291	30020	11206
292	30066	11082
293	30130	10965
294	30184	10845
295	30236	10725
296	30289	10606
297	30362	10494
298	30415	10375
299	30482	10262
300	30535	10144
301	30593	10029
302	30663	9917
303	30733	9806
304	30793	9692
305	30851	9578
306	30912	9464
307	30978	9353
308	31047	9243
309	31101	9129
310	31171	9020
311	31229	8908
312	31286	8796
313	31345	8684
314	31407	8574
315	31466	8464
316	31535	8356
317	31601	8248
318	31664	8139
319	31728	8031
320	31783	7921
321	31842	7812
322	31904	7704
323	31972	7598
324	32044	7493
325	32097	7384
326	32157	7277
327	32212	7169
328	32275	7063
329	32333	6956
330	32394	6850
331	32453	6744
332	32502	6637
333	32558	6531
334	32622	6427
335	32685	6323
336	32753	6220
337	32812	6115
338	32869	6011
339	32928	5907
340	32990	5804
341	33049	5701
342	33105	5597
343	33166	5495
344	33230	5393
345	33290	5291
346	33352	5190
347	33418	5089
348	33477	4988
349	33536	4886
350	33598	4786
351	33658	4685
352	33714	4584
353	33766	4483
354	33822	4382
355	33887	4283
356	33941	4183
357	34004	4084
358	34058	3984
359	34117	3885
360	34173	3786
361	34231	3687
362	34291	3589
363	34351	3491
364	34412	3394
365	34479	3297
366	34546	3200
367	34604	3103
368	34662	3005
369	34727	2909
370	34797	2813
371	34860	2717
372	34920	2621
373	34977	2525
374	35037	2429
375	35105	2334
376	35169	2238
377	35218	2142
378	35274	2047
379	35330	1952
380	35382	1857
381	35438	1762
382	35502	1668
383	35558	1574
384	35611	1479
385	35669	1386
386	35729	1292
387	35794	1199
388	35849	1105
389	35915	1013
390	35979	920
391	36035	827
392	36097	734
393	36156	642
394	36224	550
395	36295	458
396	36350	366
397	36411	274
398	36449	182
399	36489	91
400	36519	0
